MonthYear,Ticker,Daily_Return
Nov-2024,BRITANNIA,-18.541310281510537
Nov-2024,CIPLA,-5.75281524725922
Nov-2024,COALINDIA,-10.120499334535452
Nov-2024,DRREDDY,-0.9353749468481607
Nov-2024,EICHERMOT,-1.5556112706727636
Nov-2024,GRASIM,-1.7236849215368597
Nov-2024,HCLTECH,0.8354143864511225
Nov-2024,HDFCBANK,-0.6072959431088851
Nov-2024,HDFCLIFE,-1.7889827582575182
Nov-2024,HEROMOTOCO,-13.910606249371606
Nov-2024,HINDALCO,-7.96603988448795
Nov-2024,HINDUNILVR,-5.975186603914132
Nov-2024,ICICIBANK,-1.4631462856722683
Nov-2024,INDUSINDBK,-8.744625006410745
Nov-2024,INFY,7.225681111067834
Nov-2024,ITC,-1.7789998633955397
Nov-2024,JSWSTEEL,1.591822050416126
Nov-2024,KOTAKBANK,2.1742636417252252
Nov-2024,LT,-2.151820911779885
Nov-2024,M&M,5.4584744261223594
Nov-2024,MARUTI,-1.6012011541089888
Nov-2024,NESTLEIND,-2.796242912839631
Nov-2024,NTPC,-15.979268409570535
Nov-2024,ONGC,-13.345159800609526
Nov-2024,POWERGRID,5.001499660635043
Nov-2024,RELIANCE,-4.118200800774959
Nov-2024,SBILIFE,-10.171092475399778
Nov-2024,SBIN,-3.4692391890313035
Nov-2024,SHRIRAMFIN,-10.9746875559681
Nov-2024,SUNPHARMA,-5.570875297622167
Nov-2024,TATACONSUM,-5.682209684825214
Nov-2024,TATAMOTORS,-8.223819937043185
Nov-2024,TATASTEEL,-10.078267354893082
Nov-2024,TCS,5.043726043444041
Nov-2024,TECHM,5.295086034026263
Nov-2024,TITAN,4.243606211309047
Nov-2024,TRENT,-6.250956307316166
Nov-2024,ULTRACEMCO,6.625498462209036
Nov-2024,WIPRO,0.42947595840369956
Oct-2023,ADANIENT,-9.015027932084621
Oct-2023,ADANIPORTS,-9.28262219785245
Oct-2023,APOLLOHOSP,-5.8528103197472685
Oct-2023,ASIANPAINT,-5.172123258146028
Oct-2023,AXISBANK,-4.783849777600751
Oct-2023,BAJAJ-AUTO,1.1968656881894064
Oct-2023,BAJAJFINSV,2.94958842382533
Oct-2023,BAJFINANCE,-6.096149018530938
Oct-2023,BEL,-0.49001897653482007
Oct-2023,BHARTIARTL,4.661675162872404
Oct-2023,BPCL,0.9952559362444593
Oct-2023,BRITANNIA,0.7184535775866613
Oct-2023,CIPLA,-0.9876640579110768
Oct-2023,COALINDIA,5.9772159472920405
Oct-2023,DRREDDY,-3.8870450748581717
Oct-2023,EICHERMOT,-2.499390841639598
Oct-2023,GRASIM,-2.177862368496626
Oct-2023,HCLTECH,3.8420783274402237
Oct-2023,HDFCBANK,-4.39167268832755
Oct-2023,HDFCLIFE,-1.5986365469564188
Oct-2023,HEROMOTOCO,-2.360911493914249
Oct-2023,HINDALCO,-7.282656997061867
Oct-2023,HINDUNILVR,4.203509186289236
Oct-2023,ICICIBANK,-3.5850225373609046
Oct-2023,INDUSINDBK,-3.5436335118001994
Oct-2023,INFY,1.7735213479780607
Oct-2023,ITC,-2.7978333980195287
Oct-2023,JSWSTEEL,-7.078412717543267
Oct-2023,KOTAKBANK,0.09330269359243315
Oct-2023,LT,-2.5338424963062316
Oct-2023,M&M,-6.184844038656286
Oct-2023,MARUTI,-3.6944669836426924
Oct-2023,NESTLEIND,3.9851340219467346
Oct-2023,NTPC,-3.114274817518739
Oct-2023,ONGC,-5.45597697902781
Oct-2023,POWERGRID,5.049828415845942
Oct-2023,RELIANCE,-1.3304219924238216
Oct-2023,SBILIFE,5.810411292901496
Oct-2023,SBIN,-5.91820991451999
Oct-2023,SHRIRAMFIN,-6.263915359630049
Oct-2023,SUNPHARMA,-4.884973170802711
Oct-2023,TATACONSUM,3.3366626190409305
Oct-2023,TATAMOTORS,-6.159839105455786
Oct-2023,TATASTEEL,-10.806733249208227
Oct-2023,TCS,-2.980805270245064
Oct-2023,TECHM,-1.7787786857024661
Oct-2023,TITAN,2.1340111059750724
Oct-2023,TRENT,1.5456847851080344
Oct-2023,ULTRACEMCO,-0.16597512340056447
Oct-2023,WIPRO,-1.0741080584393168
Oct-2024,ADANIENT,-7.079524765180718
Oct-2024,ADANIPORTS,-7.73583392227761
